sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Ateles paniscus	RO:0002470	eats		Attalea phalerata							"Quiroga-Castro, V. D.; Roldan, A. I.. 2001. The fate of Attalea phalerata (Palmae) seeds dispersed to a tapir latrine. Biotropica. 472-477"
	Cuniculus paca	RO:0002470	eats		Attalea phalerata							"Quiroga-Castro, V. D.; Roldan, A. I.. 2001. The fate of Attalea phalerata (Palmae) seeds dispersed to a tapir latrine. Biotropica. 472-477"
	Papio cynocephalus	RO:0002470	eats		Hyphaene compressa							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Pecari tajacu	RO:0002470	eats		Attalea phalerata							"Beck, Harald. 2006. A review of peccary-palm interactions and their ecological ramifications across the Neotropics. Journal of Mammalogy. 519-530"
	Pecari tajacu	RO:0002470	eats		Attalea phalerata							"Quiroga-Castro, V. D.; Roldan, A. I.. 2001. The fate of Attalea phalerata (Palmae) seeds dispersed to a tapir latrine. Biotropica. 472-477"
	Tayassu pecari	RO:0002470	eats		Attalea phalerata							"Beck, Harald. 2006. A review of peccary-palm interactions and their ecological ramifications across the Neotropics. Journal of Mammalogy. 519-530"
	Tayassu pecari	RO:0002470	eats		Attalea phalerata							"Quiroga-Castro, V. D.; Roldan, A. I.. 2001. The fate of Attalea phalerata (Palmae) seeds dispersed to a tapir latrine. Biotropica. 472-477"
	Tapirus terrestris	RO:0002470	eats		Attalea phalerata							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Tapirus terrestris	RO:0002470	eats		Attalea phalerata							"Quiroga-Castro, V. D.; Roldan, A. I.. 2001. The fate of Attalea phalerata (Palmae) seeds dispersed to a tapir latrine. Biotropica. 472-477"
	Sciurus granatensis	RO:0002470	eats		Attalea butyracea							"Galvez, Dumas; Jansen, Patrick A.. 2007. Bruchid beetle infestation and the value of Attalea butyracea endocarps for neotropical rodents. Journal of Tropical Ecology. 381-384"
	Sciurus granatensis	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Sciurus granatensis	RO:0002470	eats		Attalea butyracea							"Carvajal, Alejandra; Adler, Gregory H.. 2008. Seed dispersal and predation by Proechimys semispinosus and Sciurus granatensis in gaps and understorey in central Panama. Journal of Tropical Ecology. 485-492"
	Sciurus granatensis	RO:0002470	eats		Attalea butyracea							"Dittel, Jacob W.; Lambert, Thomas D.; Adler, Gregory H.. 2015. Seed dispersal by rodents in a lowland forest in central Panama. Journal of Tropical Ecology. 403-412"
